AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,AB,A,A,AB,A,AB,A,A,A,A,A,AB,A,AB,LowRisk
AB,AB,A,A,AB,A,A,A,A,A,A,AB,AB,A,A,LowRisk
A,AB,AB,B,BC,A,B,AB,AB,A,AB,A,BC,AB,AB,LowRisk
A,BC,AB,AB,A,B,AB,B,B,AB,A,A,C,AB,BC,LowRisk
A,AB,A,A,B,B,AB,AB,A,A,AB,A,B,A,A,MediumRisk
A,B,AB,AB,AB,A,AB,B,AB,A,AB,AB,BC,AB,C,MediumRisk
A,B,AB,B,AB,A,B,AB,B,A,AB,AB,BC,AB,A,MediumRisk
A,B,AB,A,AB,B,A,AB,B,B,A,AB,BC,AB,B,MediumRisk
A,AB,AB,AB,B,A,AB,AB,AB,A,AB,A,B,AB,B,MediumRisk
A,AB,A,A,A,A,A,AB,B,AB,AB,A,BC,A,B,MediumRisk
A,AB,A,A,AB,A,B,A,AB,A,A,A,B,A,B,MediumRisk
A,B,A,A,A,A,A,BC,AB,A,A,AB,BC,AB,BC,MediumRisk
A,B,A,B,AB,B,AB,AB,A,A,A,A,B,AB,B,MediumRisk
A,AB,B,A,BC,A,AB,A,AB,AB,A,B,BC,B,B,MediumRisk
A,AB,A,B,AB,A,A,AB,A,A,A,A,AB,A,A,MediumRisk
AB,AB,A,A,B,A,AB,A,AB,B,AB,B,B,A,B,MediumRisk
A,D,BC,B,AB,A,C,D,D,D,B,C,E,BC,D,MediumRisk
A,AB,A,A,B,A,A,A,A,AB,A,AB,C,A,B,MediumRisk
A,AB,A,A,AB,A,AB,A,A,AB,AB,B,B,A,B,MediumRisk
A,BC,A,AB,B,A,A,B,AB,AB,AB,A,AB,A,B,MediumRisk
A,AB,A,B,AB,B,A,AB,A,AB,AB,B,B,A,A,MediumRisk
A,AB,A,A,A,A,A,A,A,A,AB,A,AB,A,B,MediumRisk
A,C,A,A,B,B,AB,B,B,A,AB,A,C,A,B,MediumRisk
A,A,A,B,AB,A,AB,A,AB,B,A,AB,B,AB,A,MediumRisk
A,BC,A,B,B,B,AB,BC,BC,AB,A,B,B,AB,BC,MediumRisk
A,B,BC,B,B,B,B,A,B,A,AB,AB,BC,B,A,MediumRisk
B,BC,A,A,B,A,A,BC,AB,B,A,A,BC,A,C,MediumRisk
A,AB,AB,A,BC,A,AB,A,AB,A,AB,A,C,A,AB,MediumRisk
A,AB,A,A,A,A,A,A,A,A,A,A,AB,A,A,MediumRisk
