AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,B,A,AB,B,A,A,B,A,A,AB,A,BC,AB,B,LowRisk
A,B,A,A,A,A,A,BC,AB,A,A,AB,BC,AB,BC,LowRisk
A,B,A,B,AB,B,AB,AB,A,A,A,A,B,AB,B,LowRisk
A,AB,B,A,BC,A,AB,A,AB,AB,A,B,BC,B,B,LowRisk
AB,A,A,A,B,A,A,A,A,A,A,A,A,A,A,LowRisk
A,C,B,C,B,A,BC,D,C,C,AB,BC,D,BC,D,LowRisk
A,AB,A,B,AB,A,A,AB,A,A,A,A,AB,A,A,LowRisk
AB,AB,A,A,B,A,AB,A,AB,B,AB,B,B,A,B,LowRisk
A,D,BC,B,AB,A,C,D,D,D,B,C,E,BC,D,LowRisk
A,AB,A,A,B,A,A,A,A,AB,A,AB,C,A,B,LowRisk
A,AB,A,A,A,A,AB,A,A,A,A,A,A,A,A,LowRisk
A,AB,A,A,AB,A,AB,A,A,AB,AB,B,B,A,B,LowRisk
A,BC,A,AB,B,A,A,B,AB,AB,AB,A,AB,A,B,LowRisk
A,AB,A,A,AB,A,A,A,A,A,A,AB,A,A,A,LowRisk
A,A,A,A,B,A,B,A,A,A,A,AB,A,A,A,LowRisk
A,AB,A,B,AB,B,A,AB,A,AB,AB,B,B,A,A,LowRisk
A,AB,A,B,B,B,A,A,A,A,AB,A,AB,AB,A,LowRisk
A,AB,A,A,A,A,A,A,A,A,AB,A,AB,A,B,LowRisk
A,AB,A,A,AB,A,A,B,A,A,A,A,BC,A,AB,LowRisk
A,C,A,A,B,B,AB,B,B,A,AB,A,C,A,B,LowRisk
A,A,A,B,AB,A,AB,A,AB,B,A,AB,B,AB,A,LowRisk
A,BC,A,B,B,B,AB,BC,BC,AB,A,B,B,AB,BC,LowRisk
A,B,BC,B,B,B,B,A,B,A,AB,AB,BC,B,A,LowRisk
B,BC,A,A,B,A,A,BC,AB,B,A,A,BC,A,C,LowRisk
